City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
176,alta floresta,-9.8756,-56.0861,294.3,98,92,0.65,BR,1675744719
177,college,64.8569,-147.8028,258.47,81,75,0.0,US,1675744720
178,ilulissat,69.2167,-51.1,254.16,78,100,2.57,GL,1675744720
179,rio gallegos,-51.6226,-69.2181,288.18,47,40,9.26,AR,1675744559
180,svetlaya,46.5389,138.3297,267.21,42,7,2.9,RU,1675744721
181,esperance,-33.8667,121.9,296.32,68,1,8.21,AU,1675744721
182,nicoya,10.1483,-85.452,296.82,77,0,5.25,CR,1675744721
183,manaure,11.7751,-72.4445,297.85,80,5,6.77,CO,1675744722
184,havre-saint-pierre,50.2334,-63.5986,259.15,77,0,3.6,CA,1675744722
185,iqaluit,63.7506,-68.5145,238.0,75,0,0.0,CA,1675744722
186,dudinka,69.4058,86.1778,249.91,99,96,1.85,RU,1675744723
187,kikwit,-5.041,18.8162,294.38,81,96,0.86,CD,1675744723
188,kidal,18.4411,1.4078,296.44,13,100,6.5,ML,1675744723
189,damietta,31.4165,31.8133,282.09,66,95,8.58,EG,1675744724
190,isla mujeres,21.2311,-86.731,295.18,77,7,4.13,MX,1675744677
191,hailar,49.2,119.7,258.45,90,93,4.15,CN,1675744724
192,coaraci,-14.6408,-39.5511,295.42,91,53,0.82,BR,1675744724
193,kiunga,-6.1219,141.2906,302.05,78,82,1.57,PG,1675744725
194,sinnamary,5.3833,-52.95,297.2,90,96,5.13,GF,1675744725
195,henderson,36.0397,-114.9819,285.84,31,0,5.14,US,1675744682
196,necochea,-38.5473,-58.7368,288.4,87,24,4.73,AR,1675744725
197,pevek,69.7008,170.3133,239.65,100,100,0.73,RU,1675744726
198,dingle,10.9995,122.6711,302.05,67,96,5.61,PH,1675744726
199,aksu,41.1231,80.2644,273.42,66,84,1.45,CN,1675744727
200,ouadda,8.0777,22.4007,291.49,19,1,0.48,CF,1675744727
201,boke,10.9409,-14.2967,292.6,77,21,0.65,GN,1675744727
202,ixtapa,20.7,-105.2,294.39,88,0,0.0,MX,1675744728
203,portland,45.5234,-122.6762,282.64,84,100,4.47,US,1675744468
204,vostok,46.4856,135.8833,261.56,77,100,3.89,RU,1675744728
205,tabuk,17.4189,121.4443,302.02,65,79,2.46,PH,1675744729
206,ketchikan,55.3422,-131.6461,277.14,87,75,2.06,US,1675744729
207,nuuk,64.1835,-51.7216,254.47,96,98,2.82,GL,1675744730
208,penzance,50.1186,-5.5371,275.53,79,62,3.81,GB,1675744730
209,la rioja,42.25,-2.5,267.03,86,5,1.4,ES,1675744730
210,minab,27.1467,57.0801,287.33,94,1,0.0,IR,1675744731
211,baykit,61.67,96.37,254.67,98,92,0.6,RU,1675744731
212,malakal,9.5334,31.6605,298.27,13,5,4.85,SS,1675744731
